?x	?p	?y
<http://purl.obolibrary.org/obo/CHEBI_50860>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_27594>
<http://purl.obolibrary.org/obo/CHEBI_28616>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_76971>
<http://purl.obolibrary.org/obo/CHEBI_29986>	<http://purl.obolibrary.org/obo/chebi#is_enantiomer_of>	<http://purl.obolibrary.org/obo/CHEBI_29985>
<http://purl.obolibrary.org/obo/CHEBI_57981>	<http://purl.obolibrary.org/obo/chebi#is_enantiomer_of>	<http://purl.obolibrary.org/obo/CHEBI_58095>
<http://purl.obolibrary.org/obo/CHEBI_28694>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_76971>
<http://purl.obolibrary.org/obo/CHEBI_23004>	<http://purl.obolibrary.org/obo/chebi#is_substituent_group_from>	<http://purl.obolibrary.org/obo/CHEBI_28616>
<http://purl.obolibrary.org/obo/CHEBI_15966>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_75771>
<http://purl.obolibrary.org/obo/CHEBI_27470>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_77746>
<http://purl.obolibrary.org/obo/CHEBI_22916>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_27560>
<http://purl.obolibrary.org/obo/CHEBI_18367>	<http://purl.obolibrary.org/obo/chebi#is_conjugate_base_of>	<http://purl.obolibrary.org/obo/CHEBI_43474>
<http://purl.obolibrary.org/obo/CHEBI_25903>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_33281>
<http://purl.obolibrary.org/obo/CHEBI_27899>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_25435>
<http://purl.obolibrary.org/obo/CHEBI_29067>	<http://purl.obolibrary.org/obo/chebi#is_conjugate_base_of>	<http://purl.obolibrary.org/obo/CHEBI_33575>
<http://purl.obolibrary.org/obo/CHEBI_28876>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_22333>
<http://purl.obolibrary.org/obo/CHEBI_17258>	<http://purl.obolibrary.org/obo/chebi#is_tautomer_of>	<http://purl.obolibrary.org/obo/CHEBI_35589>
<http://purl.obolibrary.org/obo/CHEBI_35586>	<http://purl.obolibrary.org/obo/chebi#is_tautomer_of>	<http://purl.obolibrary.org/obo/CHEBI_35588>
